date,open,high,low,close,volume,ticker
2021-12-14 12:00:00,0.20000000,6.95000000,0.20000000,2.71670000,51123396.20000000,VOXELUSDT
2021-12-14 13:00:00,2.71670000,3.11250000,2.60370000,2.67520000,26519937.80000000,VOXELUSDT
2021-12-14 14:00:00,2.67520000,3.09490000,2.56320000,2.95010000,15047577.30000000,VOXELUSDT
2021-12-14 15:00:00,2.95010000,3.18420000,2.82370000,2.89380000,14518755.60000000,VOXELUSDT
2021-12-14 16:00:00,2.89410000,2.96990000,2.65310000,2.77050000,8246685.10000000,VOXELUSDT
2021-12-14 17:00:00,2.77010000,2.82680000,2.45000000,2.47330000,6518091.20000000,VOXELUSDT
2021-12-14 18:00:00,2.47080000,2.52760000,2.28500000,2.49360000,7671636.90000000,VOXELUSDT
2021-12-14 19:00:00,2.49360000,2.77500000,2.35090000,2.77500000,6464198.60000000,VOXELUSDT
2021-12-14 20:00:00,2.77320000,2.77330000,2.53920000,2.63110000,6204823.90000000,VOXELUSDT
2021-12-14 21:00:00,2.63930000,2.64240000,2.41790000,2.53510000,3697344.40000000,VOXELUSDT
2021-12-14 22:00:00,2.53510000,2.68000000,2.48000000,2.66510000,2703697.50000000,VOXELUSDT
2021-12-14 23:00:00,2.66780000,2.95000000,2.63190000,2.83500000,6711409.10000000,VOXELUSDT
2021-12-15 00:00:00,2.83400000,2.84380000,2.53470000,2.69000000,3573330.10000000,VOXELUSDT
2021-12-15 01:00:00,2.68770000,2.69580000,2.56520000,2.63200000,1170764.90000000,VOXELUSDT
2021-12-15 02:00:00,2.63200000,2.91000000,2.63010000,2.79100000,3957633.60000000,VOXELUSDT
2021-12-15 03:00:00,2.79070000,2.91300000,2.73500000,2.85330000,2481433.70000000,VOXELUSDT
2021-12-15 04:00:00,2.85610000,3.20000000,2.77050000,3.14560000,6306034.10000000,VOXELUSDT
2021-12-15 05:00:00,3.14560000,3.40000000,3.09120000,3.23010000,7777121.50000000,VOXELUSDT
2021-12-15 06:00:00,3.23290000,3.83000000,3.16150000,3.70880000,10831884.90000000,VOXELUSDT
2021-12-15 07:00:00,3.70870000,3.98000000,3.43710000,3.55530000,13077889.40000000,VOXELUSDT
2021-12-15 08:00:00,3.55520000,3.84000000,3.54500000,3.82480000,7335014.50000000,VOXELUSDT
2021-12-15 09:00:00,3.82480000,4.56780000,3.79000000,4.19530000,23750684.90000000,VOXELUSDT
2021-12-15 10:00:00,4.19720000,4.44850000,4.03050000,4.26690000,12665453.90000000,VOXELUSDT
2021-12-15 11:00:00,4.26570000,4.32750000,3.76780000,3.87760000,10183325.30000000,VOXELUSDT
