date,open,high,low,close,volume,ticker
2022-01-28 08:00:00,2.22400000,3.89000000,2.12600000,2.45100000,1203512.81000000,XNOUSDT
2022-01-28 09:00:00,2.45100000,2.54800000,2.36100000,2.40200000,295833.82000000,XNOUSDT
2022-01-28 10:00:00,2.40200000,2.45600000,2.30000000,2.31500000,215467.06000000,XNOUSDT
2022-01-28 11:00:00,2.31500000,2.40000000,2.27500000,2.36600000,143448.93000000,XNOUSDT
2022-01-28 12:00:00,2.36600000,2.43000000,2.30300000,2.36800000,151860.51000000,XNOUSDT
2022-01-28 13:00:00,2.36700000,2.39800000,2.30600000,2.32400000,98992.66000000,XNOUSDT
2022-01-28 14:00:00,2.32600000,2.34400000,2.22100000,2.29000000,130648.65000000,XNOUSDT
2022-01-28 15:00:00,2.29200000,2.38000000,2.26500000,2.35400000,91424.71000000,XNOUSDT
2022-01-28 16:00:00,2.35300000,2.35400000,2.29500000,2.30300000,53200.58000000,XNOUSDT
2022-01-28 17:00:00,2.31100000,2.32600000,2.24600000,2.24600000,46254.68000000,XNOUSDT
2022-01-28 18:00:00,2.25500000,2.29700000,2.24200000,2.26700000,32139.68000000,XNOUSDT
2022-01-28 19:00:00,2.26900000,2.28800000,2.26000000,2.27700000,29404.31000000,XNOUSDT
2022-01-28 20:00:00,2.27400000,2.35000000,2.26600000,2.33200000,52295.35000000,XNOUSDT
2022-01-28 21:00:00,2.32800000,2.34000000,2.15800000,2.30500000,81232.39000000,XNOUSDT
2022-01-28 22:00:00,2.30900000,2.32200000,2.28500000,2.29200000,18409.62000000,XNOUSDT
2022-01-28 23:00:00,2.29400000,2.30500000,2.25300000,2.28400000,20349.70000000,XNOUSDT
2022-01-29 00:00:00,2.28500000,2.43000000,2.25400000,2.25400000,160262.33000000,XNOUSDT
2022-01-29 01:00:00,2.25600000,2.30800000,2.25100000,2.27100000,30033.08000000,XNOUSDT
2022-01-29 02:00:00,2.27500000,2.29800000,2.26600000,2.27600000,10636.22000000,XNOUSDT
2022-01-29 03:00:00,2.27400000,2.32200000,2.25700000,2.29400000,17181.74000000,XNOUSDT
2022-01-29 04:00:00,2.29400000,2.30900000,2.25900000,2.28400000,25056.57000000,XNOUSDT
2022-01-29 05:00:00,2.29100000,2.31000000,2.26800000,2.27900000,10693.05000000,XNOUSDT
2022-01-29 06:00:00,2.28000000,2.32000000,2.26600000,2.31000000,12104.12000000,XNOUSDT
2022-01-29 07:00:00,2.29800000,2.32000000,2.28000000,2.32000000,14572.36000000,XNOUSDT
2022-01-29 08:00:00,2.32400000,2.39000000,2.31400000,2.39000000,48476.48000000,XNOUSDT
2022-01-29 09:00:00,2.38500000,2.40000000,2.33600000,2.35600000,65211.71000000,XNOUSDT
2022-01-29 10:00:00,2.36600000,2.38700000,2.34300000,2.37700000,19072.78000000,XNOUSDT
2022-01-29 11:00:00,2.37800000,2.37800000,2.30000000,2.33600000,45128.07000000,XNOUSDT
2022-01-29 12:00:00,2.32700000,2.37000000,2.30500000,2.35100000,39101.38000000,XNOUSDT
2022-01-29 13:00:00,2.36300000,2.38600000,2.34100000,2.36200000,31796.07000000,XNOUSDT
2022-01-29 14:00:00,2.36200000,2.38600000,2.30000000,2.33200000,33369.56000000,XNOUSDT
2022-01-29 15:00:00,2.31500000,2.32800000,2.28400000,2.30700000,27541.17000000,XNOUSDT
2022-01-29 16:00:00,2.31100000,2.31900000,2.28700000,2.31900000,13300.69000000,XNOUSDT
2022-01-29 17:00:00,2.31900000,2.35000000,2.30600000,2.32100000,17340.12000000,XNOUSDT
